Speed	av	del_av	ar	del_ar	PFLow	PFeHigh	P_g(mJ=-1)	P_g(mJ=0)	P_g(mJ=1)	P_e(mJ'=0)
-48.256499999999996	-5571.651551246323	161.37881002914338	5594.817146591148	161.9490964256222	0.9537627982688704	0.0462372017311207	0.2995274292052206	0.3547194726730273	0.2995158963906216	0.0462372017311207
-38.605199999999996	-10669.01814141237	224.81254497396384	10711.090518460436	225.88064580322103	0.948642385436969	0.05135761456302019	0.3026033787179481	0.34340096289219624	0.3026380438268244	0.05135761456302019
-28.953899999999997	-22511.111722397447	367.1256643241823	22607.914621451753	369.02816071344114	0.9384127176978999	0.06158728230208683	0.3095197162856954	0.3205241900378914	0.30836881137431327	0.06158728230208683
-24.128249999999998	-32229.745020952574	527.1263501193289	32212.219287074076	527.7226742189321	0.925889207696945	0.0741107923030386	0.2979641239697116	0.33116568735059215	0.2967593963766411	0.0741107923030386
-19.302599999999998	-39279.958807273324	581.7234620235805	39246.515445890785	582.1141396373365	0.9161308478669703	0.08386915213301126	0.2929187374930356	0.329824306786696	0.2933878035872395	0.08386915213301126
-14.476949999999999	-19226.977881029456	387.2933870681073	19436.66951284025	391.104375721351	0.9324838446954862	0.06751615530450046	0.2906250688569485	0.3518606025708854	0.2899981732676515	0.06751615530450046
-9.651299999999999	-6860.103917330184	422.61839250410185	6696.616833536759	426.0501737380374	0.9305174724484868	0.06948252755149792	0.30089991062796473	0.327997568257056	0.3016199935634664	0.06948252755149792
-7.238474999999999	3066.8094046880606	354.75085879494935	-2962.902248655054	362.3108024476773	0.9427131613344844	0.05728683866550388	0.3041552987467635	0.33452542814362185	0.3040324344440988	0.05728683866550388
-4.8256499999999996	2902.9646860753937	355.1097656155987	-2882.8048947397683	359.46992172539575	0.9327507030091586	0.06724929699082681	0.3018316863015338	0.3290050690776194	0.3019139476300047	0.06724929699082681
-2.4128249999999998	4883.134801073197	371.2415537176603	-4948.806005321158	374.4013328456163	0.9279644121833659	0.07203558781661794	0.3035590437439179	0.3205421072272148	0.30386326121223284	0.07203558781661794
2.4128249999999998	-18677.746855358346	529.2565154518531	-18626.47977017912	530.4550010395975	0.9164838013543891	0.08351619864559265	0.301713729259336	0.3136806468280947	0.3010894252669586	0.08351619864559265
4.8256499999999996	-32547.044496954113	721.1907138694631	-32235.832193446826	718.800739863175	0.9179640711537875	0.082035928846194	0.3001916762098955	0.3177323429276573	0.30004005201623557	0.082035928846194
7.238474999999999	-35926.2434978935	817.8193754068271	-36171.95610898409	818.9968969831336	0.9245936097287228	0.07540639027126084	0.3006497700244611	0.3237011105787077	0.30024272912555383	0.07540639027126084
9.651299999999999	-39909.77971474802	844.1350436083505	-40024.85023386767	844.7281913322685	0.9178213587121798	0.08217864128780274	0.2963116738514232	0.3245110623472859	0.2969986225134701	0.08217864128780274
14.476949999999999	-34919.0536441139	562.2544843495706	-34931.63251646489	563.2000745400534	0.9301974700260982	0.06980252997388713	0.29518716796295996	0.34066513559298867	0.2943451664701491	0.06980252997388713
19.302599999999998	-25239.911613473272	292.4274197418879	-25220.565360366436	292.2579562490909	0.9354790727886683	0.06452092721131727	0.2921215938781642	0.34949103175978974	0.2938664471507147	0.06452092721131727
24.128249999999998	-17961.21925837542	167.33522244983735	-17970.279310636543	167.36088709689773	0.9425334613832537	0.057466538616733606	0.30130925285182286	0.3401072092610462	0.30111699927038516	0.057466538616733606
28.953899999999997	-11993.837457623891	153.66824452160367	-12018.36220409899	155.73826050583307	0.9518820869096335	0.04811791309035584	0.3064386504080716	0.33905300313262127	0.3063904333689409	0.04811791309035584
38.605199999999996	-3632.31385616392	47.89215871124565	-3633.8026367533453	47.56990824335049	0.9601021936659512	0.03989780633403981	0.30270029766139644	0.35458144098183203	0.3028204550227221	0.03989780633403981
48.256499999999996	-1742.814560533052	31.81940534329208	-1745.851616845722	31.657194379759922	0.9636135905382771	0.03638640946171359	0.30297530458722416	0.35753815103426406	0.3031001349167892	0.03638640946171359
