LongSpeed	az	del_az	PFLow	PFeHigh
-4.8256499999999996	-67.47762080114308	0.005933530687497768	0.9999706233306107	2.937666938565978e-5
-2.4128249999999998	-73.18131620940038	0.01725659167875117	0.9999680449854468	3.1955014556535856e-5
2.4128249999999998	-89.62692051533735	1.5038689418960317e-14	0.9999605842266128	3.941577339005411e-5
4.8256499999999996	-100.45651661459362	3.158124777981666e-13	0.9999556841710059	4.431582899582908e-5
9.651299999999999	-126.87446636470054	1.2030951535168253e-13	0.9999436727713549	5.6327228644083557e-5
14.476949999999999	-150.40111779581127	0.03847079280462507	0.9999329029837553	6.709701624435792e-5
19.302599999999998	-207.37550874988426	0.006729676269092868	0.9999068268474408	9.317315256022704e-5
24.128249999999998	-276.7565702012367	0.024214576727367005	0.9998748913379172	0.00012510866208120482
28.953899999999997	-318.6030195909769	0.039338980259578084	0.9998559254256759	0.00014407457432153792
33.77955	-403.45609657999523	0.09094590390569239	0.9998170194533168	0.0001829805466799731
38.605199999999996	-503.6557450392353	0.12317397938912118	0.9997708379233956	0.0002291620766068417
43.43084999999999	-627.7260457677711	0.1523224503435096	0.9997140238818283	0.00028597611817158326
48.256499999999996	-715.3033405335733	0.2414477068471447	0.999673221829221	0.00032677817077736426
53.08215	-917.8573391109236	1.9022604635115516e-13	0.9995795420939138	0.00042045790608575217
57.907799999999995	-1197.9581192554153	0.23657934246313042	0.9994507051785274	0.0005492948214681607
62.73344999999999	-1353.814035205253	0.32653821183152454	0.9993793434210587	0.0006206565789402705
67.5591	-1616.5237458279528	0.2614874953852438	0.9992581570791914	0.0007418429208090626
72.38475	-1911.4670344715298	0.43525679860395533	0.999122991623097	0.000877008376901298
77.21039999999999	-1999.0862618096382	4.934157100493622e-12	0.9990829073191397	0.0009170926808604253
82.03604999999999	-2019.3214271967374	2.4061903070336507e-13	0.999072118348337	0.0009278816516610565
86.86169999999998	-2224.542107408216	4.097594440842311e-12	0.9989773635805401	0.001022636419460213
91.68735	-2480.28304150556	0.05837591428815569	0.9988592396263821	0.001140760373618785
96.51299999999999	-2181.5042229414557	1.4437141842201902e-12	0.9989965126014797	0.0010034873985219708
101.33864999999999	-2432.94917533211	0.46989059864852256	0.9988806603768805	0.0011193396231228233
106.1643	-2376.7758342267507	0.06816723449854704	0.9989064995730881	0.0010935004269100775
110.98995	-2186.427970243118	0.3593551491282388	0.9989939952121365	0.0010060047878628505
115.81559999999999	-2187.063435533143	3.1800066726338304e-7	0.9989937331197676	0.0010062668802322886
120.64124999999999	-2377.078213922336	1.0432808057042642e-7	0.9989064482506044	0.0010935517493944466
125.46689999999998	-2432.7012384198433	9.654285183231891e-8	0.9988808077716302	0.0011191922283690075
130.29254999999998	-2181.7746074282754	4.923077399142973e-7	0.9989964073574871	0.0010035926425121435
135.1182	-2480.05010583746	3.469678298936384e-8	0.9988594327196316	0.0011405672803645652
139.94385	-2224.705203408363	2.600389114333722e-7	0.9989773354463475	0.001022664553651595
144.7695	-2018.784407919668	5.944649555908765e-8	0.9990723876482783	0.0009276123517220299
149.59515	-1998.5676055699817	5.924140633433621e-6	0.9990831854964958	0.0009168145035051836
154.42079999999999	-1911.440886532355	0.15929216678434419	0.9991230352499298	0.0008769647500720186
159.24644999999998	-1616.1538704448928	0.3272488731984119	0.9992583531772739	0.0007416468227231534
164.07209999999998	-1354.2221672663984	0.21719018135206591	0.9993792225924772	0.0006207774075223178
168.89774999999997	-1198.2564219298094	9.148455856857292e-8	0.9994505842696281	0.0005494157303747591
173.72339999999997	-917.8779811503248	0.002811183205038206	0.9995795779319512	0.0004204220680437734
178.54905	-715.5660126041213	6.618587368042111e-8	0.9996731172986513	0.0003268827013509784
183.3747	-627.528580843136	0.03201602657611912	0.9997140959239962	0.000285904076001287
188.20035	-503.6329533563381	0.12027526946791309	0.9997708271006774	0.00022917289931883984
193.02599999999998	-403.414918721824	0.08463724763326795	0.9998170052704186	0.000182994729584729
197.85164999999998	-318.4454785939049	0.007819326648120043	0.9998559860173015	0.00014401398269869338
202.67729999999997	-276.73978848327505	0.06239989892933561	0.9998748623498142	0.00012513765018115066
207.50294999999997	-207.41674750083507	0.04378627415004265	0.9999068187175821	9.318128241776971e-5
212.3286	-150.43594488340108	0.011900610680025455	0.9999328961101636	6.710388983622262e-5
217.15425	-126.93944045769902	0.026968224399711967	0.999943654915068	5.634508493017429e-5
221.9799	-100.45251982093583	0.02002031774808186	0.9999556968792978	4.430312070030344e-5
