Speed	av	del_av	ar	del_ar	PFLow	PFeHigh	P_g(mJ=-1)	P_g(mJ=0)	P_g(mJ=1)	P_e(mJ'=0)
-9.651299999999999	-1737.6453480092669	39.44864399862996	1746.569276230096	39.65474413465573	0.9882959127953649	0.01170408720463231	0.32070135057285093	0.35419278754618855	0.31340177467632574	0.01170408720463231
-7.7210399999999995	-615.6271718519266	32.47682066133139	623.4542884724335	32.354279262664626	0.987703279466696	0.012296720533301601	0.31817861690323357	0.34925359108920834	0.3202710714742538	0.012296720533301601
-5.790780000000001	-597.0704812454273	27.328047059884796	646.0627713630226	28.25621470991973	0.9858746967242	0.01412530327579688	0.32571027400784724	0.3373168037294633	0.32284761898688874	0.01412530327579688
-3.8605199999999997	591.6864481345801	29.836580211674328	-533.5634265179217	30.149349456255344	0.9872994402292407	0.012700559770757536	0.32752724748819684	0.3337774346224782	0.3259947581185649	0.012700559770757536
-2.8953900000000004	904.801329219466	32.41591783522476	-844.6538842569706	32.80498705276881	0.9872555217078717	0.012744478292125418	0.3252164666891185	0.3346853110239198	0.32735374399483275	0.012744478292125418
-1.9302599999999999	1570.5862602038942	39.04329018989642	-1529.3619921345341	39.33474382622926	0.987528345748366	0.012471654251630849	0.32551456733738715	0.33825705266106343	0.3237567257499156	0.012471654251630849
-1.5442080000000002	1813.8506291989504	41.546566738321395	-1809.2542085049924	41.653998870257944	0.9876169408488796	0.012383059151117436	0.3234380479780018	0.33851930711159217	0.3256595857592858	0.012383059151117436
-1.1581559999999997	2468.966184681997	56.054382977906656	-2337.7765577271484	55.30411792211087	0.988813609287236	0.011186390712760659	0.32080011720252843	0.3459442133623673	0.3220692787223403	0.011186390712760659
-0.7721040000000001	2888.1348512750765	62.267499112584616	-2803.0315489564546	63.205925529525324	0.9894609732737157	0.010539026726282222	0.32097104139666405	0.34732332305659347	0.3211666088204578	0.010539026726282222
-0.38605200000000006	1632.072831717712	46.97536104955313	-1386.0480684063552	48.451156332018435	0.9911204492072192	0.008879550792778818	0.3237449057636741	0.3447150090350623	0.32266053440848314	0.008879550792778818
-0.19302600000000003	-396.39112852398796	35.16039235964315	460.41762141954865	31.83797463015505	0.991227066616826	0.00877293338317194	0.3323387637549009	0.32428068747283173	0.3346076153890934	0.00877293338317194
0.19302600000000003	2212.6722980991635	46.88776742119009	2300.9944817511564	46.47176362820908	0.9898153966361064	0.01018460336389016	0.33214687534603193	0.32707546794038295	0.33059305334969197	0.01018460336389016
0.38605200000000006	1572.5121641146939	55.94663532600294	1597.392972510478	57.90948103035003	0.9893941632019838	0.010605836798012797	0.3300288401729147	0.327838944763063	0.33152637826600684	0.010605836798012797
0.7721040000000001	727.0143885270757	55.43733298358913	743.7954604044361	56.063595967067904	0.9884748731213798	0.01152512687861788	0.32589070015606525	0.3353958469535508	0.3271883260117627	0.01152512687861788
1.1581559999999997	496.01922733704146	45.3005477467513	613.921593862671	46.19109477875001	0.9881371862562914	0.01186281374370596	0.3270985091828846	0.33458780957890616	0.32645086749450003	0.01186281374370596
1.5442080000000002	180.71102606910932	45.81558623341678	219.1553168245417	46.57720108961087	0.9877422179636651	0.012257782036332166	0.32243213324863085	0.3427034407535134	0.32260664396152094	0.012257782036332166
1.9302599999999999	-32.487356712877165	42.268063808120075	-14.073414444163566	42.49303964516213	0.9873129611216963	0.012687038878301051	0.32270255550660587	0.34020874035753096	0.3244016652575589	0.012687038878301051
2.8953900000000004	-350.37516486611776	46.626339133741645	-336.1747652215107	46.68788462871873	0.9869144542956402	0.01308554570435635	0.3220635612088587	0.3425291457154793	0.3223217473713028	0.01308554570435635
3.8605199999999997	-688.5642268716139	51.56883610296644	-676.9048173779528	51.55861034809395	0.9866192929632567	0.013380707036740143	0.3214014378589127	0.344333766441038	0.3208840886633056	0.013380707036740143
5.790780000000001	-1592.5797693733803	46.64247217372305	-1627.7635941340288	46.98720531229431	0.9857216987704918	0.014278301229505023	0.3183745758701066	0.34675084880045687	0.32059627409992825	0.014278301229505023
7.7210399999999995	-2474.366504755107	73.67026026941701	-2506.2777698488	73.8369975199516	0.9863605898112593	0.01363941018873809	0.3112902022380404	0.3627516105909058	0.3123187769823125	0.01363941018873809
9.651299999999999	-4698.1740980711475	91.35574799433543	-4728.058598179516	91.441206314482	0.986990498902686	0.013009501097311842	0.3139209119186489	0.36145650674232427	0.31161308024171264	0.013009501097311842
