s0	energy	polSign	polType	sidebandFreqs	sidebandAmps	sidebandFreqs2	sidebandAmps2	staticBFieldAngle
2.64	-11.0	1	Slower	1.5	1.5	3.1	1.5	54.7
0.186	0.25	1	Push	0.0	0.0	0.0	0.0	54.7
