Speed	av	del_av	ar	del_ar	PFLow	PFeHigh
-4.82406	-1828.5190702564353	125.2208561012501	1826.3695980871296	120.182514452433	0.9861571430162189	0.013842856983768814
-2.41203	-1305.4033227314264	238.2505010896137	1294.8996066201328	222.02762829707768	0.9868339678263042	0.01316603217368355
-1.4472180000000003	2513.763117198276	1208.1585269398095	-2580.2863832290805	1220.8120178541692	0.9872959725093641	0.012704027490623757
-1.1577744	-673.9216519010848	126.38893460968366	756.0064416968823	128.11847983899176	0.9868571580928208	0.013142841907165673
-0.9165714	-1381.6889479401589	105.85407530821598	1449.7650774793658	105.81949392465957	0.9869123069788941	0.013087693021092027
-0.6753684	-3150.8711452026414	127.11128020369203	3208.477064859085	121.36378108042528	0.9872125736673469	0.012787426332638985
-0.4341654000000001	-4761.164473681386	158.54780538342777	5126.242227782911	139.90874093600016	0.9876750667815961	0.012324933218391239
-0.24120300000000003	-5521.476068706944	122.65644719723498	5506.425932956021	108.14937733504091	0.9880195869444791	0.011980413055506735
-0.1447218	-5132.609321317034	152.50196285952023	4997.2307418503915	101.5212862182345	0.9885992352612811	0.011400764738705025
-0.04824060000000001	-4987.05789607422	262.6949715407251	3190.808014373488	436.664306277608	0.9891560002633178	0.010843999736668865
0.04824060000000001	-6060.368156934056	242.66282424534805	-5120.235261084783	406.1122025895409	0.9892953414398283	0.010704658560157097
0.1447218	-5512.773724412685	117.95136508359064	-5701.747634660264	55.009453018025575	0.9889599137076754	0.011040086292311329
0.24120300000000003	-5581.673895074513	72.89730631105397	-5783.10040424884	64.28716342158036	0.9884561660611934	0.011543833938791926
0.4341654000000001	-5365.507284129639	104.3362019387241	-5639.497794134257	99.40223628074274	0.9882190251571482	0.011780974842839794
0.6753684	-5684.366820233318	84.53382674301207	-5813.906073576765	78.92259303481733	0.9875249474466561	0.012475052553330484
0.9165714	-4790.568383129197	58.99933443380682	-4864.577897769607	58.357971805882926	0.9869749012865883	0.013025098713398112
1.1577744	-3748.602430256138	56.4398567163089	-3962.0997435932823	50.36231220544246	0.9868978074030772	0.01310219259690995
1.4472180000000003	-1278.3564476900847	1706.8619146474948	-1322.1413750572692	1723.7420308891014	0.9861535169811549	0.013846483018832437
2.41203	-1736.9318774004385	259.2857474898333	-1729.1959975116056	244.7650527989581	0.9870212000472435	0.012978799952743727
4.82406	-1579.7068571769423	125.02126116645195	-1665.3357517244838	131.19005380133595	0.9869454684856146	0.013054531514373947
