Speed	av	del_av	ar	del_ar	PFLow	PFeHigh
-7.718496000000001	-2324.162644967283	39.940946744472186	2324.7247561794634	40.15106070304816	0.9921954638185174	0.007804536181475507
-5.788872000000001	-2468.0639620581715	12.019875322539331	2482.6345125432995	12.123653295076995	0.9911593484810745	0.008840651518917135
-4.82406	-1567.7541233784023	39.284179944649765	1565.9780574006882	40.28907178769816	0.9919755920398129	0.008024407960179818
-3.8592480000000005	-1213.4994713072722	31.969213121034272	1224.1415047778014	32.336039813707934	0.9916115847319203	0.00838841526807148
-2.8944360000000007	-849.735843916262	20.605765604751458	871.5051902734879	21.071129191404548	0.991281003269922	0.008718996730069687
-1.9296240000000002	-240.5961736525366	25.64904164724079	260.01483281186785	25.832940388677287	0.9921996103841487	0.007800389615843565
-1.4472180000000003	-54.85332882201363	23.383822472630648	59.36753780089484	23.380810572018834	0.991912511000829	0.008087488999163667
-0.9648120000000001	314.9407514822101	16.31263817340134	-296.14488498154986	15.569883948501662	0.991272463010778	0.008727536989213615
-0.48240600000000006	851.2851113620501	16.189234333632513	-829.3662659320419	15.979975353609277	0.9925620851367157	0.007437914863276231
0.48240600000000006	724.6384225612076	16.778951607893454	650.1781112726907	16.775904395680296	0.9923784053482274	0.007621594651765314
0.9648120000000001	235.03849999977174	16.714932105912897	189.78806871709207	16.99668240582849	0.9912287024198629	0.008771297580128833
1.4472180000000003	-152.89747879866187	28.86383048128002	-173.65160741869687	29.625663222337014	0.9916571899068581	0.008342810093133682
1.9296240000000002	-456.279105675107	32.051973516382574	-471.8783725568152	32.585287045499925	0.9916975761689986	0.008302423830993114
2.8944360000000007	-943.4722886410493	20.34732455063719	-967.251635788908	20.54242646354889	0.9912414377609858	0.008758562239006222
3.8592480000000005	-1368.0166660625907	38.354516739889014	-1379.3109571314492	38.53740902976107	0.9915571473251208	0.008442852674870487
4.82406	-1692.1219814485194	45.974648283241855	-1682.457213621125	46.580814291782964	0.9919105276684677	0.008089472331524718
5.788872000000001	-2425.0097135405836	12.767880091251529	-2433.1987333165166	12.857306596184667	0.9912336610545545	0.008766338945436478
7.718496000000001	-2374.5122163231795	32.4474206633869	-2373.401621669861	32.63296819517459	0.9922450925234233	0.007754907476570043
