Speed	av	del_av	ar	del_ar	PFLow	PFeHigh	P_g(mJ=-1)	P_g(mJ=0)	P_g(mJ=1)	P_e(mJ'=0)
-9.651299999999999	-139.54721180196563	34.435698764133406	135.6945106350835	33.433033882238945	0.9962147342608231	0.003785265739176446	0.2986855165114936	0.39879607453597166	0.2987331432133566	0.003785265739176446
-7.7210399999999995	-42.59818991768557	17.555002874201698	39.306194231007645	17.711923699055877	0.9965638470365114	0.0034361529634883547	0.2885227055352368	0.4195460362157437	0.28849510528553074	0.0034361529634883547
-5.790780000000001	133.86787618351775	14.520964498957728	-136.47932669330388	14.674512951292064	0.9968440685779351	0.0031559314220649154	0.2842205800131121	0.428399644532068	0.2842238440327541	0.0031559314220649154
-3.8605199999999997	209.3454008101467	13.88547605943953	-209.65331633655535	13.926862609745552	0.997086755096035	0.0029132449039634373	0.2808353895636857	0.4354508583393335	0.2808005071930163	0.0029132449039634373
-2.8953900000000004	269.9581666662394	13.521721252976233	-270.5599313844839	13.575043876165003	0.9971312735056371	0.0028687264943617068	0.28101477778111705	0.43503789167840573	0.28107860404611484	0.0028687264943617068
-1.9302599999999999	319.4204220485301	12.108970309393085	-321.1724126647502	12.196411376256076	0.9972545025135331	0.002745497486466201	0.2791729078139004	0.43888753257991064	0.2791940621197216	0.002745497486466201
-1.5442080000000002	342.6187054177382	11.681885492083211	-345.130608311114	11.796062365143417	0.9973052534058315	0.002694746594167803	0.2786059909537871	0.44005946551573955	0.2786397969363053	0.002694746594167803
-1.1581559999999997	390.3203025881299	12.040737426219218	-396.6313977430722	12.265530344634248	0.9973857736148457	0.0026142263851534338	0.2773540450454643	0.44261595296090667	0.2774157756084754	0.0026142263851534338
-0.7721040000000001	359.3107143779919	11.893348604249548	-359.46887250501806	11.999100437081662	0.9974333716886351	0.0025666283113637326	0.27704463519328487	0.4433554221112439	0.27703331438410694	0.0025666283113637326
-0.38605200000000006	407.88271424116334	12.073585858719513	-416.78009059871147	12.4817099284934	0.9974139166299862	0.002586083370013514	0.2778849717166068	0.4416392961630932	0.2778896487502854	0.002586083370013514
-0.19302600000000003	444.91527172320747	12.382752313014485	-454.0357730691714	12.706349525032586	0.9974707411926697	0.002529258807329751	0.27831670143360615	0.44082785765339744	0.27832618210566573	0.002529258807329751
0.19302600000000003	-368.98542004865334	11.85571162831833	-384.3258793536939	12.13280714018353	0.997518094612335	0.0024819053876640592	0.277630315920352	0.4422703828759007	0.2776173958160824	0.0024819053876640592
0.38605200000000006	-386.931402855647	12.352996342609467	-400.1765487948553	12.648941757424103	0.9974748946068213	0.0025251053931767196	0.2768412568940551	0.4437393091536116	0.2768943285591563	0.0025251053931767196
0.7721040000000001	-419.79762664781924	13.456945804598886	-425.14640564478964	13.535237445974515	0.9974862130526172	0.002513786947382666	0.2765019771597864	0.44447574285681907	0.2765084930360112	0.002513786947382666
1.1581559999999997	-449.0128557890988	12.677586150602744	-456.2784060811064	12.859384385316098	0.9974590901260628	0.0025409098739370465	0.2767073523709588	0.4440520756748412	0.2766996620802628	0.0025409098739370465
1.5442080000000002	-483.71258933609806	13.185866490353952	-487.592182917457	13.27376653464264	0.9975328329108598	0.002467167089138796	0.275342741767614	0.44688560288318596	0.2753044882600603	0.002467167089138796
1.9302599999999999	-507.4956413667055	13.770181305419866	-510.4213265206924	13.844102460604779	0.9975135445323743	0.0024864554676253944	0.2757692601398343	0.445981707895086	0.2757625764974536	0.0024864554676253944
2.8953900000000004	-592.6484082000728	16.08740445956663	-594.264055723601	16.127692749664714	0.9975309900046887	0.00246900999530982	0.2752623938840992	0.4469823307340686	0.2752862653865216	0.00246900999530982
3.8605199999999997	-612.1631155298392	16.95869845345135	-613.1774889535376	16.992229399221838	0.997579476215513	0.002420523784486864	0.2747725089703669	0.4480488159277491	0.2747581513173961	0.002420523784486864
5.790780000000001	-731.6464310320404	19.883212070960965	-733.2265860342429	20.026907351106804	0.9975003250332949	0.002499674966704715	0.2753837889287637	0.4466543663207961	0.2754621697837343	0.002499674966704715
7.7210399999999995	-861.1023084096522	21.440305673944685	-864.1776559722051	21.59817192762542	0.9974322859371435	0.002567714062855197	0.2765618854227813	0.44434044222394364	0.2765299582904181	0.002567714062855197
9.651299999999999	-850.682775876318	31.183163814061817	-854.1437513809382	30.525661940552116	0.9974451668644823	0.0025548331355168172	0.2798983624499813	0.4376495056274238	0.2798972987870777	0.0025548331355168172
