trajID,step,z,vz
80000,1,7.5,124.623153293234
80000,2,7.56585741505992,124.601215633827
80000,3,7.63170324808564,124.579323436036
80000,4,7.6975375232003,124.557477066228
80000,5,7.76336026471982,124.535676887682
80000,6,8.09230183239336,124.427381366818
80000,7,8.42095881637958,124.320293352886
80000,8,8.74933446267381,124.214454845962
80000,9,9.07743212582466,124.109906000796
80000,10,10.7138766672603,123.60821720649
80000,11,12.3439374849374,123.143670825771
80000,12,13.9681151939275,122.717954766287
80000,13,15.5869271713168,122.331789288835
80000,14,17.4078262172048,121.944420450927
80000,15,19.2233449621028,121.610094526887
80000,16,21.0342808781244,121.329783566151
80000,17,22.8414423359101,121.103953160741
80000,18,24.9855245615928,120.895873004018
80000,19,27.1263053150083,120.731436200326
80000,20,29.2644724647134,120.599393915243
80000,21,31.4005917169664,120.497897497127
80000,22,33.5352315533582,120.433145828525
80000,23,35.6689419620905,120.392804826724
80000,24,37.8020411012837,120.362235337351
80000,25,39.9346762139517,120.337409950131
80000,26,41.7134299873108,120.322675255548
80000,27,43.4920057137941,120.312972868929
80000,28,45.2704701060462,120.307548045157
80000,29,47.0488723550902,120.304517968163
80000,30,48.8038978901186,120.302449975127
80000,31,50.5588988602511,120.30114642829
80000,32,52.3138832773726,120.300115994419
80000,33,54.0688545107157,120.299236697767
80000,34,56.8924647728518,120.298347639062
80000,35,59.7160599072073,120.297925713968
80000,36,62.5396483973019,120.29775511276
80000,37,65.3632344752043,120.297681754069
80000,38,71.0366435722068,120.297619205747
80000,39,76.7100511589101,120.297617460863
80000,40,82.3834589736798,120.297621468258
80000,41,88.0568670865608,120.297618556603
80000,42,101.771270367983,120.297618556603
80000,43,115.485673649405,120.297618556603
80000,44,129.200076930827,120.297618556603
80000,45,142.914480212249,120.297618556603
80000,46,211.48649661936,120.297618556603
80000,47,280.05851302647,120.297618556603
80000,48,348.630529433581,120.297618556603
80000,49,417.202545840691,120.297618556603
80000,50,507.425759758143,120.297618556603
80000,51,597.648973675596,120.297618556603
80000,52,687.872187593048,120.297618556603
80000,53,778.0954015105,120.297618556603
80000,54,868.318615427953,120.297618556603
80000,55,958.541829345405,120.297618556603
80000,56,1048.76504326286,120.297618556603
80000,57,1138.98825718031,120.297618556603
80000,58,1229.21147109776,120.297618556603
80000,59,1319.43468501521,120.297618556603
80000,60,1409.65789893267,120.297618556603
80000,61,1499.88111285012,120.297618556603
80000,62,1590.10432676757,120.297618556603
80000,63,1680.32754068502,120.297618556603
80000,64,1770.55075460248,120.297618556603
80000,65,1860.77396851993,120.297618556603
80000,66,1950.99718243738,120.297618556603
80000,67,2041.22039635483,120.297618556603
80000,68,2131.44361027228,120.297618556603
80000,69,2221.66682418974,120.297618556603
80000,70,2311.89003810719,120.297618556603
80000,71,2402.11325202464,120.297618556603
80000,72,2492.33646594209,120.297618556603
80000,73,2582.55967985955,120.297618556603
80000,74,2672.782893777,120.297618556603
80000,75,2763.00610769445,120.297618556603
80000,76,2853.2293216119,120.297618556603
80000,77,2943.45253552936,120.297618556603
80000,78,3033.67574944681,120.297618556603
80000,79,3123.89896336426,120.297618556603
80000,80,3214.12217728171,120.297618556603
80000,81,3304.34539119916,120.297618556603
80000,82,3382.44735977583,120.297618556603
80000,83,3460.54932835249,120.297618556603
80000,84,3538.65129692915,120.297618556603
80000,85,3616.75326550582,120.297618556603
160000,1,7.5,153.712433601931
160000,2,7.55346138942013,153.70149603494
160000,3,7.60691897988756,153.69058885853
160000,4,7.66037278198493,153.6797121441
160000,5,7.71382280631964,153.66886596247
160000,6,7.98101663447864,153.615095485987
160000,7,8.24811762364596,153.562098624212
160000,8,8.51512712630613,153.509883605176
160000,9,8.78204650896826,153.458458327656
160000,10,10.1153380511511,153.212415851778
160000,11,11.4465660470956,152.983911367949
160000,12,12.7758817302183,152.772521174271
160000,13,14.1034356062524,152.578567868295
160000,14,15.9511996992693,152.338485100449
160000,15,17.79627328745,152.13451656473
160000,16,19.6390988724934,151.967277295054
160000,17,21.4801195236602,151.836763697691
160000,18,23.1475557956933,151.741029672762
160000,19,24.814007341385,151.657500108936
160000,20,26.4796088866349,151.586296539249
160000,21,28.1444964120294,151.527525672799
160000,22,30.1576740304244,151.473744166917
160000,23,32.1702526170934,151.436528700423
160000,24,34.1824189417814,151.411155191375
160000,25,36.1942974147481,151.392478834024
160000,26,38.2059505915339,151.37726768685
160000,27,40.217431042508,151.366257692972
160000,28,42.2287944094467,151.359337314154
160000,29,44.2400869726442,151.355590990038
160000,30,46.17465762491,151.353414418637
160000,31,48.1092051006526,151.351925270322
160000,32,50.0437369468201,151.350949923574
160000,33,51.9782582880818,151.35025757137
160000,34,55.177631473357,151.349411212132
160000,35,58.3769911536491,151.348952576794
160000,36,61.5763442495636,151.348777200299
160000,37,64.775695112754,151.348728083928
160000,38,70.4189546585709,151.348682292291
160000,39,76.0622133269426,151.348681205703
160000,40,81.7054721138088,151.348682761966
160000,41,87.3487310318335,151.348679263757
160000,42,101.673909895675,151.348679263757
160000,43,115.999088759517,151.348679263757
160000,44,130.324267623359,151.348679263757
160000,45,144.649446487201,151.348679263757
160000,46,216.275340806411,151.348679263757
160000,47,287.901235125621,151.348679263757
160000,48,359.52712944483,151.348679263757
160000,49,431.15302376404,151.348679263757
160000,50,544.664533211858,151.348679263757
160000,51,658.176042659676,151.348679263757
160000,52,771.687552107494,151.348679263757
160000,53,885.199061555312,151.348679263757
160000,54,998.71057100313,151.348679263757
160000,55,1112.22208045095,151.348679263757
160000,56,1225.73358989877,151.348679263757
160000,57,1339.24509934658,151.348679263757
160000,58,1452.7566087944,151.348679263757
160000,59,1566.26811824222,151.348679263757
160000,60,1679.77962769004,151.348679263757
160000,61,1793.29113713786,151.348679263757
160000,62,1906.80264658567,151.348679263757
160000,63,2020.31415603349,151.348679263757
160000,64,2133.82566548131,151.348679263757
160000,65,2247.33717492913,151.348679263757
160000,66,2360.84868437695,151.348679263757
160000,67,2474.36019382476,151.348679263757
160000,68,2587.87170327258,151.348679263757
160000,69,2701.3832127204,151.348679263757
160000,70,2814.89472216822,151.348679263757
160000,71,2928.40623161604,151.348679263757
160000,72,3041.91774106385,151.348679263757
160000,73,3155.42925051167,151.348679263757
160000,74,3268.94075995949,151.348679263757
160000,75,3382.45226940731,151.348679263757
160000,76,3495.96377885512,151.348679263757
160000,77,3609.47528830294,151.348679263757
160000,78,3722.98679775076,151.348679263757
160000,79,3836.49830719858,151.348679263757
